quantile,a,b,diff,lo,hi,excludes_zero,season
0.05,-1.9935556634596792,-1.8929442866948485,-0.10061137676483067,-0.760108336459954,0.4714452326499778,False,2025
0.1,-1.5975438795625085,-1.379440822202507,-0.21810305736000157,-0.5629489428394795,0.12550684039845872,False,2025
0.15,-1.2392740970734295,-1.0842810102784508,-0.1549930867949787,-0.4510496207492425,0.11547521657158727,False,2025
0.2,-1.070794062048414,-0.9195023643035966,-0.15129169774481743,-0.29062713259639156,0.07795501668609517,False,2025
0.25,-0.9339882137142811,-0.8035063171940122,-0.13048189652026887,-0.3190560142183021,0.07413195278192304,False,2025
0.3,-0.814868425405913,-0.7159231612025877,-0.09894526420332528,-0.3051711258164621,0.062456940578508854,False,2025
0.35,-0.7224906315499461,-0.5934899777730692,-0.12900065377687686,-0.33228500701134656,0.08949007938292101,False,2025
0.4,-0.6176376400493822,-0.4650068640342581,-0.15263077601512404,-0.38617229783190987,0.06300540160204622,False,2025
0.45,-0.5013201547195287,-0.33424487565230293,-0.1670752790672258,-0.5197243210152429,0.059325650036642176,False,2025
0.5,-0.36891758866263813,-0.13314639651550383,-0.2357711921471343,-0.6365037879472608,0.092419034209903,False,2025
0.55,-0.15961168783560323,0.16503751018295837,-0.3246491980185616,-0.7190933957051389,0.10130288098274094,False,2025
0.6,0.03464273769805389,0.3536918582360613,-0.31904912053800744,-0.6889508052035733,0.163435178570243,False,2025
0.65,0.39161456761211877,0.5735058419128082,-0.1818912743006894,-0.6051943808783493,0.32425915768646313,False,2025
0.7,0.7542463870564202,0.8062842513023318,-0.052037864245911614,-0.4519457699961652,0.38145272553362397,False,2025
0.75,1.089450028570738,1.0117950808006602,0.07765494777007786,-0.33618693275594874,0.41416387006733213,False,2025
0.8,1.402959190855591,1.3514110862090967,0.051548104646494286,-0.40494212857137785,0.4413770027906432,False,2025
0.85,1.8613526494719599,1.870069777972196,-0.008717128500236093,-0.39153853435472574,0.3737010428374652,False,2025
0.9,2.452997008280874,2.4385666368946577,0.01443037138621639,-0.4380737186256223,0.43818373780388586,False,2025
0.95,3.423734648098416,2.9049051879548466,0.5188294601435692,-0.2522634795978005,0.7807363583815878,False,2025
