qb,mean_2025,n_2025,mean_2026,n_2026,weight_2026,posterior
Manning,0.07720447043148716,426,0.1574243487045281,104,0.20641229862759228,0.09376283990145118
Stockton,0.1753323379421429,369,0.3629297841657717,32,0.11368805220873127,0.19665992620263945
