bucket,plays,mean_epa,mean_wpa,mean_leverage,qb,season
low,133,0.01576509204891089,-0.008604892211304574,0.3929793606423171,Manning,2025
medium,96,0.24217642552646454,-0.0035060636564005643,0.4937870086554843,Manning,2025
high,95,0.22215574643677571,-0.0033494644331443176,0.7017064032197539,Manning,2025
highest,102,-0.13295476079143045,-0.028138942177488063,1.6881151204027027,Manning,2025
low,108,0.06394747220255005,-0.0008689594996083958,0.3945888998687888,Stockton,2025
medium,94,-0.08162200802436442,-0.0006925634213072045,0.4980748637685029,Stockton,2025
high,96,0.1972751477530451,0.013222038193624629,0.6962651018393068,Stockton,2025
highest,71,0.6552867644052572,-0.00850322157025517,1.5940035121864367,Stockton,2025
low,17,-0.6416403178317363,-0.020084114750130187,0.3970201856721618,Manning,2026
medium,22,0.648062229775612,0.006295697699136621,0.5122932220844415,Manning,2026
high,27,-0.19489264265306433,-0.009798825720228964,0.6986278440003691,Manning,2026
highest,38,0.4811776306573608,-0.025316443876623733,2.347476515444548,Manning,2026
