season,rung,qb,n,mean_epa,lo,hi
2025,raw,Manning,492,0.15995916536565644,-0.04635531075907165,0.39584972767768867
2025,raw,Stockton,515,0.1804960299836585,0.029237992816203144,0.3309266465472669
2025,dropbacks,Manning,426,0.07720447043148716,-0.14081305927022636,0.3019107241195439
2025,dropbacks,Stockton,403,0.16569091053384888,0.0315231839462589,0.30049299668931356
2025,dropbacks + FCS removed,Manning,426,0.07720447043148716,-0.1361173355401463,0.3081190018257762
2025,dropbacks + FCS removed,Stockton,369,0.1753323379421429,0.03271529175380638,0.32501870650149434
2026,raw,Manning,120,0.11728078752178893,-0.2891603317758482,0.8024151549538753
2026,raw,Stockton,53,0.4706454387339346,0.10424090895758127,0.8097624818363007
2026,dropbacks,Manning,104,0.1574243487045281,-0.28741356545769786,0.8601546148191639
2026,dropbacks,Stockton,48,0.43139960366321856,-0.27933529402343993,1.0051948623549833
2026,dropbacks + FCS removed,Manning,104,0.1574243487045281,-0.28741356545769786,0.8601546148191639
2026,dropbacks + FCS removed,Stockton,32,0.3629297841657717,-0.27933529402343993,1.0051948623549833
