band,a,a_share,a_mean,b,b_share,b_mean,contribution_diff,season
floor,-0.5818415694175341,0.4507042253521127,-1.2909609821451538,-0.4820766224688651,0.3902439024390244,-1.2353213450764668,-0.09976494694866894,2025
middle,0.03387779470997401,0.2863849765258216,0.118294594643024,0.07999080923293134,0.35772357723577236,0.22361067126478534,-0.046113014522957324,2025
tail,0.6251682451390473,0.26291079812206575,2.377872075261019,0.5774181511780767,0.25203252032520324,2.2910462127388205,0.04775009396097063,2025
