deficit,term,coef,se,p,odds_ratio,or_lo,or_hi,n,events
7,const,-3.9141242230146633,0.21030064632954948,2.5665261917944655e-77,0.019958019768515623,0.01321627947453645,0.030138781027436716,2279,151
7,pass_epa,0.29643005194098915,0.18734102905399708,0.113580684606779,1.3450484731767205,0.9316932793872631,1.941792900325347,2279,151
7,pass_tail,-0.1630178194311324,0.1815327890782984,0.36918151183106995,0.8495760493178031,0.5952251461988657,1.2126158785188461,2279,151
7,rush_epa,-0.0163631801101048,0.09835954377212008,0.867872959330505,0.9837699694820684,0.8112781245168215,1.1929365819288562,2279,151
7,deficit,1.927965030205691,0.21516125814216291,3.2303815194346353e-19,6.875504551753216,4.509817618675056,10.482145141618265,2279,151
7,is_home,0.59807050715941,0.17712689612506566,0.0007341204821974199,1.8186064248518763,1.2851920598036202,2.5734125131600094,2279,151
10,const,-4.427551672109576,0.2903967256733475,1.735329039141145e-52,0.01194369598888553,0.006760091891126833,0.021102061358391055,1866,75
10,pass_epa,0.0842509709438171,0.24422703275025331,0.7301170122878256,1.0879018913146161,0.6740673701871678,1.7558045048186928,1866,75
10,pass_tail,0.17562589756365912,0.23662986156353713,0.4579681800105143,1.1919920480997612,0.7496415584440227,1.8953658941777587,1866,75
10,rush_epa,-0.07560465991831838,0.12998929792961053,0.5608211940173605,0.927182686591537,0.7186513113569892,1.1962237050564029,1866,75
10,deficit,1.8280083439082127,0.2960623488064995,6.641381363965313e-10,6.221483255941953,3.4824525561268276,11.11482591079883,1866,75
10,is_home,0.6387092605102157,0.24442645804418434,0.008972667424502161,1.8940345956395042,1.1730910708019555,3.058046505312569,1866,75
