season,qb,observed_cov,null_mean,null_sd,p_value
2025,Manning,-0.10268072392127596,-0.10481587722678612,0.044461871397464464,0.958
2025,Stockton,0.2124902036139009,0.08281058176657383,0.05036125949859116,0.0098
2026,Manning,0.37280725103699375,0.2981514289359991,0.12270337160370927,0.5542
